IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
172.64.229.129,4,4,0.00,72.06,115.07,NRT
162.159.38.250,4,4,0.00,74.19,114.82,NRT
162.159.45.81,4,4,0.00,73.15,113.53,NRT
172.64.52.110,4,4,0.00,81.07,111.93,NRT
172.64.53.30,4,4,0.00,78.99,108.96,NRT
162.159.27.188,4,4,0.00,89.44,107.90,SIN
162.159.39.49,4,4,0.00,61.03,89.85,NRT
104.18.36.251,4,4,0.00,89.82,8.99,SIN
162.159.44.206,4,4,0.00,80.53,7.82,NRT
172.65.61.221,4,4,0.00,209.15,0.00,N/A
104.21.125.184,4,4,0.00,201.89,0.00,N/A
172.64.158.155,4,4,0.00,90.07,0.00,N/A
162.159.24.180,4,4,0.00,90.18,0.00,N/A
104.18.33.144,4,4,0.00,90.21,0.00,N/A
172.64.40.245,4,4,0.00,90.30,0.00,N/A
172.64.48.229,4,4,0.00,90.34,0.00,N/A
162.159.32.125,4,4,0.00,90.35,0.00,N/A
162.159.40.242,4,4,0.00,90.37,0.00,N/A
162.159.36.249,4,4,0.00,90.38,0.00,N/A
162.159.61.104,4,4,0.00,90.43,0.00,N/A
172.64.38.56,4,4,0.00,90.49,0.00,N/A
162.159.25.49,4,4,0.00,90.51,0.00,N/A
172.64.154.179,4,4,0.00,90.59,0.00,N/A
172.64.151.224,4,4,0.00,90.64,0.00,N/A
162.159.49.59,4,4,0.00,90.67,0.00,N/A
162.159.48.109,4,4,0.00,90.67,0.00,N/A
162.159.26.35,4,4,0.00,90.68,0.00,N/A
104.18.35.213,4,4,0.00,90.74,0.00,N/A
162.159.51.218,4,4,0.00,90.74,0.00,N/A
172.64.36.253,4,4,0.00,90.76,0.00,N/A
162.159.33.77,4,4,0.00,90.80,0.00,N/A
162.159.46.5,4,4,0.00,90.83,0.00,N/A
172.64.159.50,4,4,0.00,90.89,0.00,N/A
162.159.43.93,4,4,0.00,90.93,0.00,N/A
198.41.211.228,4,4,0.00,90.94,0.00,N/A
172.64.150.54,4,4,0.00,90.95,0.00,N/A
162.159.57.248,4,4,0.00,90.96,0.00,N/A
104.18.34.34,4,4,0.00,90.98,0.00,N/A
172.64.33.46,4,4,0.00,91.01,0.00,N/A
173.245.59.127,4,4,0.00,91.01,0.00,N/A
172.64.37.71,4,4,0.00,91.06,0.00,N/A
162.159.35.244,4,4,0.00,91.06,0.00,N/A
172.64.145.69,4,4,0.00,91.11,0.00,N/A
162.159.60.63,4,4,0.00,91.11,0.00,N/A
198.41.222.34,4,4,0.00,91.20,0.00,N/A
108.162.192.194,4,4,0.00,91.20,0.00,N/A
172.64.156.199,4,4,0.00,91.22,0.00,N/A
162.159.13.51,4,4,0.00,91.27,0.00,N/A
162.159.0.5,4,4,0.00,91.27,0.00,N/A
172.64.42.165,4,4,0.00,91.32,0.00,N/A
104.18.32.170,4,4,0.00,91.37,0.00,N/A
172.64.148.96,4,4,0.00,91.40,0.00,N/A
172.64.49.55,4,4,0.00,91.42,0.00,N/A
198.41.223.178,4,4,0.00,91.44,0.00,N/A
172.64.46.179,4,4,0.00,91.46,0.00,N/A
162.159.42.84,4,4,0.00,91.47,0.00,N/A
172.64.146.195,4,4,0.00,91.48,0.00,N/A
104.18.41.216,4,4,0.00,91.52,0.00,N/A
162.159.3.182,4,4,0.00,91.53,0.00,N/A
104.18.37.201,4,4,0.00,91.56,0.00,N/A
104.18.40.69,4,4,0.00,91.61,0.00,N/A
104.18.42.111,4,4,0.00,91.61,0.00,N/A
162.159.56.142,4,4,0.00,91.62,0.00,N/A
162.159.11.210,4,4,0.00,91.63,0.00,N/A
172.64.50.128,4,4,0.00,91.64,0.00,N/A
162.159.19.215,4,4,0.00,91.66,0.00,N/A
172.64.47.239,4,4,0.00,91.67,0.00,N/A
162.159.10.83,4,4,0.00,91.67,0.00,N/A
172.64.149.105,4,4,0.00,91.68,0.00,N/A
162.159.41.27,4,4,0.00,91.72,0.00,N/A
172.64.147.231,4,4,0.00,91.77,0.00,N/A
104.18.39.223,4,4,0.00,91.78,0.00,N/A
172.64.157.228,4,4,0.00,91.96,0.00,N/A
162.159.17.151,4,4,0.00,91.97,0.00,N/A
162.159.62.45,4,4,0.00,91.98,0.00,N/A
172.64.35.184,4,4,0.00,92.03,0.00,N/A
162.159.7.111,4,4,0.00,92.06,0.00,N/A
172.64.155.30,4,4,0.00,92.07,0.00,N/A
108.162.198.157,4,4,0.00,92.07,0.00,N/A
162.159.18.144,4,4,0.00,92.10,0.00,N/A
172.64.41.77,4,4,0.00,92.26,0.00,N/A
172.64.153.19,4,4,0.00,92.29,0.00,N/A
162.159.14.206,4,4,0.00,92.35,0.00,N/A
162.159.12.90,4,4,0.00,92.36,0.00,N/A
162.159.58.118,4,4,0.00,92.37,0.00,N/A
173.245.58.97,4,4,0.00,92.38,0.00,N/A
108.162.195.90,4,4,0.00,92.39,0.00,N/A
104.18.38.222,4,4,0.00,92.41,0.00,N/A
104.18.43.60,4,4,0.00,92.47,0.00,N/A
162.159.4.224,4,4,0.00,92.49,0.00,N/A
172.64.152.40,4,4,0.00,92.50,0.00,N/A
172.64.144.146,4,4,0.00,92.74,0.00,N/A
108.162.194.151,4,4,0.00,92.87,0.00,N/A
162.159.23.246,4,4,0.00,92.88,0.00,N/A
172.64.34.168,4,4,0.00,92.94,0.00,N/A
162.159.5.58,4,4,0.00,93.02,0.00,N/A
162.159.8.35,4,4,0.00,93.02,0.00,N/A
162.159.6.244,4,4,0.00,93.02,0.00,N/A
162.159.20.67,4,4,0.00,93.26,0.00,N/A
162.159.15.101,4,4,0.00,93.26,0.00,N/A
162.159.1.198,4,4,0.00,93.34,0.00,N/A
172.64.32.52,4,4,0.00,93.53,0.00,N/A
108.162.196.31,4,4,0.00,93.56,0.00,N/A
162.159.16.200,4,4,0.00,93.61,0.00,N/A
108.162.193.54,4,4,0.00,93.66,0.00,N/A
162.159.2.254,4,4,0.00,93.74,0.00,N/A
162.159.22.24,4,4,0.00,93.93,0.00,N/A
162.159.9.169,4,4,0.00,94.32,0.00,N/A
162.159.21.150,4,4,0.00,94.60,0.00,N/A
104.18.47.193,4,4,0.00,97.98,0.00,N/A
104.18.46.159,4,4,0.00,99.07,0.00,N/A
104.18.45.243,4,4,0.00,99.43,0.00,N/A
104.18.44.33,4,4,0.00,100.44,0.00,N/A
104.19.64.185,4,4,0.00,150.22,0.00,N/A
104.19.112.44,4,4,0.00,151.47,0.00,N/A
104.19.40.60,4,4,0.00,151.86,0.00,N/A
104.19.3.134,4,4,0.00,152.42,0.00,N/A
104.19.23.124,4,4,0.00,153.74,0.00,N/A
104.19.110.88,4,4,0.00,154.17,0.00,N/A
104.19.32.167,4,4,0.00,155.94,0.00,N/A
104.19.41.195,4,4,0.00,156.68,0.00,N/A
104.19.47.162,4,4,0.00,156.72,0.00,N/A
104.19.4.252,4,4,0.00,157.70,0.00,N/A
104.21.230.157,4,4,0.00,157.96,0.00,N/A
104.19.88.202,4,4,0.00,158.06,0.00,N/A
104.19.103.179,4,4,0.00,158.85,0.00,N/A
104.19.104.210,4,4,0.00,160.42,0.00,N/A
104.19.71.150,4,4,0.00,160.52,0.00,N/A
104.19.1.203,4,4,0.00,160.65,0.00,N/A
172.66.141.185,4,4,0.00,161.17,0.00,N/A
104.18.118.109,4,4,0.00,162.56,0.00,N/A
104.24.26.12,4,4,0.00,163.30,0.00,N/A
104.27.27.217,4,4,0.00,163.65,0.00,N/A
104.27.29.97,4,4,0.00,164.42,0.00,N/A
162.159.128.253,4,4,0.00,164.76,0.00,N/A
104.19.2.48,4,4,0.00,164.78,0.00,N/A
104.18.125.240,4,4,0.00,164.98,0.00,N/A
172.65.73.227,4,4,0.00,165.19,0.00,N/A
104.24.145.31,4,4,0.00,165.26,0.00,N/A
104.19.95.21,4,4,0.00,165.29,0.00,N/A
104.19.127.93,4,4,0.00,165.36,0.00,N/A
172.66.201.146,4,4,0.00,165.39,0.00,N/A
104.19.12.103,4,4,0.00,165.51,0.00,N/A
104.24.215.114,4,4,0.00,165.60,0.00,N/A
104.21.224.134,4,4,0.00,165.69,0.00,N/A
104.27.21.153,4,4,0.00,165.70,0.00,N/A
104.19.142.119,4,4,0.00,165.83,0.00,N/A
104.19.66.196,4,4,0.00,165.87,0.00,N/A
104.18.127.118,4,4,0.00,165.89,0.00,N/A
104.19.85.243,4,4,0.00,166.01,0.00,N/A
104.19.134.207,4,4,0.00,166.09,0.00,N/A
104.19.109.166,4,4,0.00,166.30,0.00,N/A
104.24.172.205,4,4,0.00,166.53,0.00,N/A
104.25.23.195,4,4,0.00,166.60,0.00,N/A
172.67.80.2,4,4,0.00,166.71,0.00,N/A
104.19.106.76,4,4,0.00,166.86,0.00,N/A
104.19.39.209,4,4,0.00,166.91,0.00,N/A
104.19.98.132,4,4,0.00,166.97,0.00,N/A
104.25.212.100,4,4,0.00,166.98,0.00,N/A
104.19.140.51,4,4,0.00,167.07,0.00,N/A
104.19.75.17,4,4,0.00,167.12,0.00,N/A
104.19.65.27,4,4,0.00,167.14,0.00,N/A
104.19.44.121,4,4,0.00,167.15,0.00,N/A
172.65.122.181,4,4,0.00,167.22,0.00,N/A
104.19.100.89,4,4,0.00,167.36,0.00,N/A
104.20.5.110,4,4,0.00,167.48,0.00,N/A
172.64.66.76,4,4,0.00,167.54,0.00,N/A
104.24.46.163,4,4,0.00,167.88,0.00,N/A
172.65.168.52,4,4,0.00,168.01,0.00,N/A
172.65.121.17,4,4,0.00,168.06,0.00,N/A
104.24.37.235,4,4,0.00,168.24,0.00,N/A
104.25.114.88,4,4,0.00,168.64,0.00,N/A
104.27.117.254,4,4,0.00,168.64,0.00,N/A
104.25.53.166,4,4,0.00,168.68,0.00,N/A
104.20.19.24,4,4,0.00,168.80,0.00,N/A
104.26.7.239,4,4,0.00,168.80,0.00,N/A
104.19.68.136,4,4,0.00,168.84,0.00,N/A
104.19.52.145,4,4,0.00,168.88,0.00,N/A
162.159.207.36,4,4,0.00,168.91,0.00,N/A
104.19.5.98,4,4,0.00,168.93,0.00,N/A
104.19.130.23,4,4,0.00,168.97,0.00,N/A
104.19.77.234,4,4,0.00,168.97,0.00,N/A
104.25.63.174,4,4,0.00,169.04,0.00,N/A
104.19.16.210,4,4,0.00,169.16,0.00,N/A
172.65.150.185,4,4,0.00,169.19,0.00,N/A
172.66.176.45,4,4,0.00,169.22,0.00,N/A
104.19.108.127,4,4,0.00,169.26,0.00,N/A
104.24.38.75,4,4,0.00,169.38,0.00,N/A
104.25.186.15,4,4,0.00,169.53,0.00,N/A
172.66.197.47,4,4,0.00,169.54,0.00,N/A
104.19.73.0,4,4,0.00,169.59,0.00,N/A
172.65.81.215,4,4,0.00,169.71,0.00,N/A
104.19.11.192,4,4,0.00,169.72,0.00,N/A
104.27.72.4,4,4,0.00,169.80,0.00,N/A
104.19.28.3,4,4,0.00,169.85,0.00,N/A
104.27.40.216,4,4,0.00,169.88,0.00,N/A
172.65.70.180,4,4,0.00,169.90,0.00,N/A
104.19.36.56,4,4,0.00,170.05,0.00,N/A
172.65.158.122,4,4,0.00,170.13,0.00,N/A
104.19.138.8,4,4,0.00,170.15,0.00,N/A
104.19.13.247,4,4,0.00,170.23,0.00,N/A
104.19.111.49,4,4,0.00,170.25,0.00,N/A
104.19.49.156,4,4,0.00,170.29,0.00,N/A
141.101.123.164,4,4,0.00,170.35,0.00,N/A
104.19.99.203,4,4,0.00,170.43,0.00,N/A
162.159.250.234,4,4,0.00,170.50,0.00,N/A
104.19.15.58,4,4,0.00,170.51,0.00,N/A
172.67.112.21,4,4,0.00,170.57,0.00,N/A
104.19.50.0,4,4,0.00,170.70,0.00,N/A
104.19.254.88,4,4,0.00,170.79,0.00,N/A
104.19.62.110,4,4,0.00,170.86,0.00,N/A
172.65.169.247,4,4,0.00,170.93,0.00,N/A
104.25.239.133,4,4,0.00,170.94,0.00,N/A
104.19.69.77,4,4,0.00,170.98,0.00,N/A
104.25.46.185,4,4,0.00,171.06,0.00,N/A
172.66.160.41,4,4,0.00,171.07,0.00,N/A
104.18.30.212,4,4,0.00,171.11,0.00,N/A
104.19.48.11,4,4,0.00,171.12,0.00,N/A
172.67.65.36,4,4,0.00,171.12,0.00,N/A
141.101.120.24,4,4,0.00,171.23,0.00,N/A
104.19.70.34,4,4,0.00,171.26,0.00,N/A
104.19.20.230,4,4,0.00,171.27,0.00,N/A
172.67.100.59,4,4,0.00,171.35,0.00,N/A
162.159.140.235,4,4,0.00,171.46,0.00,N/A
104.19.30.76,4,4,0.00,171.47,0.00,N/A
104.19.97.47,4,4,0.00,171.50,0.00,N/A
104.19.80.220,4,4,0.00,171.53,0.00,N/A
104.25.166.181,4,4,0.00,171.71,0.00,N/A
104.25.91.79,4,4,0.00,171.76,0.00,N/A
104.27.53.151,4,4,0.00,171.77,0.00,N/A
104.19.125.115,4,4,0.00,171.79,0.00,N/A
104.24.47.107,4,4,0.00,171.83,0.00,N/A
104.19.27.4,4,4,0.00,171.96,0.00,N/A
104.25.206.32,4,4,0.00,172.16,0.00,N/A
104.19.18.70,4,4,0.00,172.18,0.00,N/A
104.19.102.164,4,4,0.00,172.25,0.00,N/A
104.19.105.5,4,4,0.00,172.43,0.00,N/A
141.101.121.238,4,4,0.00,172.56,0.00,N/A
172.65.113.98,4,4,0.00,172.57,0.00,N/A
104.19.25.60,4,4,0.00,172.60,0.00,N/A
104.19.31.240,4,4,0.00,172.66,0.00,N/A
173.245.49.132,4,4,0.00,172.66,0.00,N/A
104.19.243.168,4,4,0.00,172.92,0.00,N/A
104.16.114.204,4,4,0.00,172.95,0.00,N/A
104.24.72.168,4,4,0.00,172.96,0.00,N/A
172.65.74.111,4,4,0.00,173.01,0.00,N/A
172.65.167.250,4,4,0.00,173.02,0.00,N/A
104.27.78.38,4,4,0.00,173.11,0.00,N/A
104.19.93.176,4,4,0.00,173.13,0.00,N/A
104.19.29.162,4,4,0.00,173.16,0.00,N/A
104.19.74.86,4,4,0.00,173.20,0.00,N/A
104.19.60.145,4,4,0.00,173.26,0.00,N/A
172.65.130.74,4,4,0.00,173.32,0.00,N/A
104.19.34.231,4,4,0.00,173.32,0.00,N/A
104.19.35.113,4,4,0.00,173.63,0.00,N/A
104.27.68.180,4,4,0.00,173.78,0.00,N/A
104.20.27.141,4,4,0.00,173.85,0.00,N/A
104.19.33.132,4,4,0.00,174.15,0.00,N/A
172.65.96.236,4,4,0.00,174.38,0.00,N/A
104.25.2.250,4,4,0.00,174.44,0.00,N/A
104.25.7.4,4,4,0.00,174.53,0.00,N/A
104.19.61.43,4,4,0.00,174.55,0.00,N/A
104.25.159.123,4,4,0.00,174.57,0.00,N/A
104.20.0.118,4,4,0.00,174.58,0.00,N/A
104.18.23.233,4,4,0.00,174.66,0.00,N/A
104.25.248.135,4,4,0.00,174.67,0.00,N/A
104.19.26.132,4,4,0.00,174.67,0.00,N/A
172.65.85.198,4,4,0.00,174.70,0.00,N/A
104.19.0.218,4,4,0.00,174.73,0.00,N/A
104.19.45.90,4,4,0.00,174.75,0.00,N/A
104.19.79.242,4,4,0.00,174.84,0.00,N/A
104.25.93.51,4,4,0.00,174.85,0.00,N/A
104.24.20.246,4,4,0.00,174.86,0.00,N/A
172.65.18.60,4,4,0.00,174.93,0.00,N/A
104.24.163.153,4,4,0.00,175.02,0.00,N/A
104.19.38.89,4,4,0.00,175.08,0.00,N/A
172.66.171.20,4,4,0.00,175.12,0.00,N/A
104.27.5.17,4,4,0.00,175.14,0.00,N/A
104.25.3.55,4,4,0.00,175.18,0.00,N/A
104.25.74.206,4,4,0.00,175.19,0.00,N/A
172.65.116.150,4,4,0.00,175.22,0.00,N/A
104.18.25.210,4,4,0.00,175.26,0.00,N/A
172.65.176.73,4,4,0.00,175.30,0.00,N/A
104.25.103.61,4,4,0.00,175.36,0.00,N/A
104.18.20.202,4,4,0.00,175.42,0.00,N/A
172.66.214.160,4,4,0.00,175.46,0.00,N/A
104.27.57.227,4,4,0.00,175.53,0.00,N/A
104.19.46.25,4,4,0.00,175.57,0.00,N/A
104.26.10.230,4,4,0.00,175.58,0.00,N/A
104.19.81.245,4,4,0.00,175.66,0.00,N/A
104.19.24.244,4,4,0.00,175.70,0.00,N/A
104.19.42.88,4,4,0.00,175.78,0.00,N/A
172.66.210.39,4,4,0.00,175.81,0.00,N/A
104.25.211.51,4,4,0.00,175.92,0.00,N/A
104.25.162.148,4,4,0.00,175.96,0.00,N/A
172.65.94.161,4,4,0.00,175.99,0.00,N/A
104.16.120.192,4,4,0.00,176.05,0.00,N/A
172.65.72.125,4,4,0.00,176.06,0.00,N/A
104.24.154.105,4,4,0.00,176.11,0.00,N/A
104.19.67.162,4,4,0.00,176.23,0.00,N/A
104.21.14.235,4,4,0.00,176.27,0.00,N/A
172.67.92.243,4,4,0.00,176.30,0.00,N/A
104.19.63.130,4,4,0.00,176.31,0.00,N/A
104.19.122.241,4,4,0.00,176.33,0.00,N/A
104.24.5.20,4,4,0.00,176.33,0.00,N/A
104.24.30.50,4,4,0.00,176.36,0.00,N/A
104.24.143.230,4,4,0.00,176.37,0.00,N/A
172.65.64.62,4,4,0.00,176.41,0.00,N/A
162.159.195.178,4,4,0.00,176.44,0.00,N/A
172.66.211.182,4,4,0.00,176.50,0.00,N/A
104.24.211.56,4,4,0.00,176.52,0.00,N/A
104.16.123.139,4,4,0.00,176.57,0.00,N/A
172.65.153.192,4,4,0.00,176.60,0.00,N/A
104.19.8.245,4,4,0.00,176.62,0.00,N/A
104.25.199.82,4,4,0.00,176.63,0.00,N/A
104.25.175.146,4,4,0.00,176.64,0.00,N/A
104.18.117.50,4,4,0.00,176.65,0.00,N/A
104.19.123.18,4,4,0.00,176.67,0.00,N/A
104.25.141.197,4,4,0.00,176.70,0.00,N/A
104.25.149.184,4,4,0.00,176.74,0.00,N/A
104.20.61.102,4,4,0.00,176.75,0.00,N/A
172.66.215.56,4,4,0.00,176.82,0.00,N/A
172.65.180.27,4,4,0.00,176.82,0.00,N/A
172.66.159.104,4,4,0.00,176.82,0.00,N/A
104.27.2.100,4,4,0.00,176.84,0.00,N/A
104.16.117.237,4,4,0.00,176.86,0.00,N/A
172.65.154.17,4,4,0.00,176.86,0.00,N/A
104.19.72.121,4,4,0.00,176.98,0.00,N/A
104.19.76.242,4,4,0.00,177.00,0.00,N/A
104.25.119.81,4,4,0.00,177.05,0.00,N/A
104.21.239.116,4,4,0.00,177.14,0.00,N/A
